"variable","response","sample_n"
"S1","(01) English",2002
"S1","(02) Spanish",80
"S1","(03) Chinese (simplified)",0
"S1","(04) Chinese (traditional)",0
"S1","(05) Korean",0
"S1","(06) Vietnamese",0
"S1","(07) Arabic",0
"S1","(08) Urdu",0
"S1","(09) Farsi",0
"S1","(10) Haitian Creole",0
"S2_RACER1","(0) NO TO: White",1294
"S2_RACER1","(1) White",788
"S2_RACER2","(0) NO TO: Hispanic or Latino",0
"S2_RACER2","(1) Hispanic or Latino",2082
"S2_RACER3","(0) NO TO: Black or African American",2012
"S2_RACER3","(1) Black or African American",70
"S2_RACER4","(0) NO TO: Asian American",2082
"S2_RACER4","(1) Asian American",0
"S2_RACER5","(0) NO TO: American Indian/Native American",2082
"S2_RACER5","(1) American Indian/Native American",0
"S2_RACER6","(0) NO TO: Arab, Middle Eastern or North African",2082
"S2_RACER6","(1) Arab, Middle Eastern or North African",0
"S2_RACER7","(0) NO TO: Native Hawaiian",2082
"S2_RACER7","(1) Native Hawaiian",0
"S2_RACER8","(0) NO TO: Not Hawaiian, but other Pacific Islander",2082
"S2_RACER8","(1) Not Hawaiian, but other Pacific Islander",0
"S2_RACE_PRIME","(1) White",286
"S2_RACE_PRIME","(2) Hispanic or Latino",1754
"S2_RACE_PRIME","(3) Black or African American",42
"S2_RACE_PRIME","(4) Asian American",0
"S2_RACE_PRIME","(5) American Indian/Native American",0
"S2_RACE_PRIME","(6) Arab, Middle Eastern or North African",0
"S2_RACE_PRIME","(7) Native Hawaiian",0
"S2_RACE_PRIME","(8) Not Hawaiian, but other Pacific Islander",0
"S2_HISPANICR1","(0) NO TO: No, not Hispanic or Latino",0
"S2_HISPANICR1","(1) No, not Hispanic or Latino",0
"S2_HISPANICR2","(0) NO TO: Yes, myself",0
"S2_HISPANICR2","(2) Yes, myself",0
"S2_HISPANICR3","(0) NO TO: Yes, one of my parents",0
"S2_HISPANICR3","(3) Yes, one of my parents",0
"S2_HISPANICR4","(0) NO TO: Yes, one of my grandparents",0
"S2_HISPANICR4","(4) Yes, one of my grandparents",0
"S2_HISPANICR5","(0) NO TO: Yes, another more distant relative",0
"S2_HISPANICR5","(5) Yes, another more distant relative",0
"S2_NATIVER1","(0) NO TO: No, not Native American",440
"S2_NATIVER1","(1) No, not Native American",1642
"S2_NATIVER2","(0) NO TO: Yes, myself",1952
"S2_NATIVER2","(1) Yes, myself",130
"S2_NATIVER3","(0) NO TO: Yes, one of my parents",1979
"S2_NATIVER3","(1) Yes, one of my parents",103
"S2_NATIVER4","(0) NO TO: Yes, one of my grandparents",1912
"S2_NATIVER4","(1) Yes, one of my grandparents",170
"S2_NATIVER5","(0) NO TO: Yes, another more distant relative",1930
"S2_NATIVER5","(1) Yes, another more distant relative",152
"S2_AFROLATR1","(0) NO TO: No, not Afro-Latino",272
"S2_AFROLATR1","(1) No, not Afro-Latino",1810
"S2_AFROLATR2","(0) NO TO: Yes, myself",1927
"S2_AFROLATR2","(1) Yes, myself",155
"S2_AFROLATR3","(0) NO TO: Yes, one of my parents",1995
"S2_AFROLATR3","(1) Yes, one of my parents",87
"S2_AFROLATR4","(0) NO TO: Yes, one of my grandparents",2014
"S2_AFROLATR4","(1) Yes, one of my grandparents",68
"S2_AFROLATR5","(0) NO TO: Yes, another more distant relative",2017
"S2_AFROLATR5","(1) Yes, another more distant relative",65
"S3","(01) Straight, that is, not gay or lesbian",1866
"S3","(02) Gay or lesbian",108
"S3","(03) Bisexual",59
"S3","(04) Something else (Specify)",21
"S3","(88) Refused",18
"S3","(99) I don",10
"S3B","(1) Man",823
"S3B","(2) Woman",1253
"S3B","(3) Non-binary",5
"S3B","(4) Something else (Specify)",1
"S3C","(01) Yes",26
"S3C","(02) No",2054
"S3C","(88) Don",2
"S4","(01) Alaska",1
"S4","(02) Alabama",14
"S4","(03) Arizona",109
"S4","(04) Arkansas",7
"S4","(05) California",444
"S4","(06) Colorado",42
"S4","(07) Connecticut",22
"S4","(08) Delaware",4
"S4","(09) District of Columbia",1
"S4","(10) Florida",319
"S4","(11) Georgia",25
"S4","(12) Hawaii",4
"S4","(13) Idaho",4
"S4","(14) Illinois",85
"S4","(15) Indiana",19
"S4","(16) Iowa",6
"S4","(17) Kansas",8
"S4","(18) Kentucky",5
"S4","(19) Louisiana",12
"S4","(20) Maine",0
"S4","(21) Maryland",18
"S4","(22) Massachusetts",34
"S4","(23) Michigan",23
"S4","(24) Minnesota",15
"S4","(25) Mississippi",0
"S4","(26) Missouri",8
"S4","(27) Montana",1
"S4","(28) Nebraska",5
"S4","(29) Nevada",19
"S4","(30) New Hampshire",2
"S4","(31) New Jersey",66
"S4","(32) New Mexico",37
"S4","(33) New York",181
"S4","(34) North Carolina",28
"S4","(35) North Dakota",0
"S4","(36) Ohio",24
"S4","(37) Oklahoma",9
"S4","(38) Oregon",12
"S4","(39) Pennsylvania",49
"S4","(40) Rhode Island",4
"S4","(41) South Carolina",10
"S4","(42) South Dakota",0
"S4","(43) Tennessee",12
"S4","(44) Texas",309
"S4","(45) Utah",7
"S4","(46) Vermont",1
"S4","(47) Virginia",30
"S4","(48) Washington",24
"S4","(49) West virginia",3
"S4","(50) Wisconsin",20
"S4","(51) Wyoming",0
"S7","(1) United States",1607
"S7","(2) Another country",338
"S7","(3) on the Island of Puerto Rico",137
"S8","(01) Chinese",0
"S8","(02) Taiwanese",0
"S8","(03) Indian",0
"S8","(04) Filipino",0
"S8","(05) Korean",0
"S8","(06) Vietnamese",0
"S8","(07) Japanese",0
"S8","(08) Pakistani",0
"S8","(09) Hmong",0
"S8","(10) Thai",0
"S8","(11) Lao",0
"S8","(12) Iranian",0
"S8","(13) Bangladeshi",0
"S8","(14) Cambodian",0
"S8","(15) Pacific Islander (Samoa, Guam, Tonga",0
"S8","(16) Other (Specify)",0
"S8_PACIFIC","(1) Native Hawaiian",0
"S8_PACIFIC","(2) Samoan",0
"S8_PACIFIC","(3) Guamanian",0
"S8_PACIFIC","(4) Tongan",0
"S8_PACIFIC","(5) Micronesian",0
"S8_PACIFIC","(6) Fijian",0
"S8_PACIFIC","(7) Tahitian",0
"S8_PACIFIC","(8) Other pacific island (Specify)",0
"S9","(01) Roots in America for many generations",28
"S9","(02) Nigeria",3
"S9","(03) Ethiopia",1
"S9","(04) Egypt",0
"S9","(05) Ghana",2
"S9","(06) Kenya",2
"S9","(07) Liberia",0
"S9","(08) Somalia",0
"S9","(09) Other country in Africa",0
"S9","(10) Jamaica",2
"S9","(11) Haiti",0
"S9","(12) Trinidad and Tobago",1
"S9","(13) Barbados",1
"S9","(14) Dominican Republic",6
"S9","(15) Other country in Caribbean",14
"S9","(16) Guyana",0
"S9","(17) Brazil",0
"S9","(18) Other country in Latin America",7
"S9","(19) Other country (Specify)",3
"S10","(01) Argentina",18
"S10","(02) Bolivia",9
"S10","(03) Chile",11
"S10","(04) Colombia",15
"S10","(05) Costa Rica",16
"S10","(06) Cuba",151
"S10","(07) Dominican Republic",70
"S10","(08) Ecuador",23
"S10","(09) El Salvador",41
"S10","(10) Guatemala",25
"S10","(11) Honduras",19
"S10","(12) Mexico",944
"S10","(13) Nicaragua",14
"S10","(14) Panama",13
"S10","(15) Paraguay",3
"S10","(16) Peru",35
"S10","(17) Puerto Rico",378
"S10","(18) Uruguay",2
"S10","(19) Venezuela",12
"S10","(20) Brazil",14
"S10","(21) Spain / Spanish",230
"S10","(22) Other country (Specify)",39
"S10_MEX","(1) Yes, have Mexican ancestry",102
"S10_MEX","(2) No",167
"S11","(01) Navajo",23
"S11","(02) Cherokee",32
"S11","(03) Sioux",3
"S11","(04) Chippewa or Ojibwe",2
"S11","(05) Choctaw",4
"S11","(06) Apache",18
"S11","(07) Pueblo",6
"S11","(08) Iroquois",4
"S11","(09) Creek",8
"S11","(10) Blackfeet",6
"S11","(11) Alaska Native",4
"S11","(12) Latin American indigenous",77
"S11","(13) Other (Specify)",31
"S11","(88) Don",91
"S11","(99) Refused",2
"S12","(01) Afghanistan",0
"S12","(02) Algeria",0
"S12","(03) Bahrain",0
"S12","(04) Djibouti",0
"S12","(05) Egypt",0
"S12","(06) Eritrea",0
"S12","(07) Ethiopia",0
"S12","(08) Iran",0
"S12","(09) Iraq",0
"S12","(10) Israel",0
"S12","(11) Jordan",0
"S12","(12) Kuwait",0
"S12","(13) Lebanon",0
"S12","(14) Libya",0
"S12","(15) Morocco",0
"S12","(16) Oman",0
"S12","(17) Palestine",0
"S12","(18) Qatar",0
"S12","(19) Saudi Arabia",0
"S12","(20) Somalia",0
"S12","(21) Sudan",0
"S12","(22) Syria",0
"S12","(23) Tunisia",0
"S12","(24) Turkey",0
"S12","(25) United Arab Emirates UAE",0
"S12","(26) Yemen",0
"S12","(27) Other (Specify)",0
"S12","(88) Don",0
"S12","(99) Refused",0
"S2_M","(1) Yes",771
"S2_M","(2) No",1311
"S13","(1) Grades 1-8",3
"S13","(2) Some High School, but did not graduate",21
"S13","(3) High School graduate or GED",290
"S13","(4) Some college",473
"S13","(5) Associates, 2-year degree",298
"S13","(6) Bachelors, 4-year degree",613
"S13","(7) Post-graduate degree",384
"S14","(1) Large urban area",646
"S14","(2) Large suburb near large city",712
"S14","(3) Small suburb near small town or city",344
"S14","(4) Small town or small city",246
"S14","(5) Rural area",134
"Q58R1","(0) NO TO: Catholic",1079
"Q58R1","(1) Catholic",1002
"Q58R2","(0) NO TO: Protestant (such as Methodist, Presbyterian, Assembly of God, Baptist, Lutheran, non-denominational Christian, et",1764
"Q58R2","(1) Protestant (such as Methodist, Presbyterian, Assembly of God, Baptist, Lutheran, non-denominational Christian, etc.)",317
"Q58R3","(0) NO TO: Other Christian",1894
"Q58R3","(1) Other Christian",187
"Q58R4","(0) NO TO: Jewish",2044
"Q58R4","(1) Jewish",37
"Q58R5","(0) NO TO: Muslim",2073
"Q58R5","(1) Muslim",8
"Q58R6","(0) NO TO: Hindu",2078
"Q58R6","(1) Hindu",3
"Q58R7","(0) NO TO: Buddhist",2067
"Q58R7","(1) Buddhist",14
"Q58R8","(0) NO TO: Mormon/LDS",2069
"Q58R8","(1) Mormon/LDS",12
"Q58R9","(0) NO TO: Folk religion",2078
"Q58R9","(1) Folk religion",3
"Q58R10","(0) NO TO: Daoist",2079
"Q58R10","(1) Daoist",2
