"run","bin","n","mean_prediction","observed_share"
"diagnostic_202001_forest_FALSE","[0,0.2]",333,0.023499418369075,0.00406296205763175
"diagnostic_202001_forest_FALSE","(0.2,0.4]",41,0.275714734832932,0.33571263739061
"diagnostic_202001_forest_FALSE","(0.4,0.6]",17,0.480459546235186,0.327509252882844
"diagnostic_202001_forest_FALSE","(0.6,0.8]",25,0.711639531848551,0.867485683044657
"diagnostic_202001_forest_FALSE","(0.8,1]",105,0.934522294439569,0.980164122170372
"primary_202001_forest_FALSE","[0,0.2]",321,0.0545123641565252,0.0200680424578705
"primary_202001_forest_FALSE","(0.2,0.4]",44,0.279284001721972,0.240461002879246
"primary_202001_forest_FALSE","(0.4,0.6]",32,0.491084838579252,0.351949167161919
"primary_202001_forest_FALSE","(0.6,0.8]",63,0.717078819162343,0.836517259938308
"primary_202001_forest_FALSE","(0.8,1]",61,0.872595563858408,1
"withheld_202001_forest_FALSE","[0,0.2]",272,0.0668107940688775,0.0240098778350453
"withheld_202001_forest_FALSE","(0.2,0.4]",104,0.289971772623446,0.193702411023531
"withheld_202001_forest_FALSE","(0.4,0.6]",49,0.496184412747757,0.488941330509245
"withheld_202001_forest_FALSE","(0.6,0.8]",44,0.717330382137558,0.911522383711279
"withheld_202001_forest_FALSE","(0.8,1]",52,0.880450483063444,0.972953701744316
"diagnostic_202002_forest_FALSE","[0,0.2]",344,0.0314828347215939,0.00223874793745745
"diagnostic_202002_forest_FALSE","(0.2,0.4]",26,0.299478827928709,0.338024141518377
"diagnostic_202002_forest_FALSE","(0.4,0.6]",14,0.521166614742183,0.417413323241685
"diagnostic_202002_forest_FALSE","(0.6,0.8]",24,0.712123026481144,0.70014942783495
"diagnostic_202002_forest_FALSE","(0.8,1]",113,0.93398067432784,0.992810234378052
"primary_202002_forest_FALSE","[0,0.2]",336,0.0524783360304408,0.0396135709182918
"primary_202002_forest_FALSE","(0.2,0.4]",37,0.286702888283642,0.313346788461635
"primary_202002_forest_FALSE","(0.4,0.6]",22,0.519055516610633,0.475931332675845
"primary_202002_forest_FALSE","(0.6,0.8]",49,0.710573875180721,0.748088078263776
"primary_202002_forest_FALSE","(0.8,1]",77,0.891918906380581,0.97766399613024
"withheld_202002_forest_FALSE","[0,0.2]",281,0.0608669894141279,0.028531165928093
"withheld_202002_forest_FALSE","(0.2,0.4]",97,0.285015279275435,0.186950155723544
"withheld_202002_forest_FALSE","(0.4,0.6]",45,0.479624307827935,0.551616005746617
"withheld_202002_forest_FALSE","(0.6,0.8]",43,0.709023569300289,0.813254723161959
"withheld_202002_forest_FALSE","(0.8,1]",55,0.879150614414738,1
"diagnostic_202003_forest_FALSE","[0,0.2]",349,0.0174157740045554,0.0103948304866444
"diagnostic_202003_forest_FALSE","(0.2,0.4]",20,0.295927882598437,0.244532459172507
"diagnostic_202003_forest_FALSE","(0.4,0.6]",26,0.498417240308142,0.495068592837722
"diagnostic_202003_forest_FALSE","(0.6,0.8]",21,0.714248489911382,0.81820850925585
"diagnostic_202003_forest_FALSE","(0.8,1]",105,0.935886934669296,0.97301303224991
"primary_202003_forest_FALSE","[0,0.2]",299,0.0851568894612082,0.00825590064304156
"primary_202003_forest_FALSE","(0.2,0.4]",83,0.288085848856114,0.2037816272539
"primary_202003_forest_FALSE","(0.4,0.6]",48,0.506440463548272,0.808022082436689
"primary_202003_forest_FALSE","(0.6,0.8]",54,0.706191617905148,0.916025489505521
"primary_202003_forest_FALSE","(0.8,1]",37,0.869809354787001,0.935421531882884
"withheld_202003_forest_FALSE","[0,0.2]",281,0.0724071227864783,0.0195909228679672
"withheld_202003_forest_FALSE","(0.2,0.4]",105,0.290546169687869,0.287605973745117
"withheld_202003_forest_FALSE","(0.4,0.6]",35,0.474413899024951,0.671575469436792
"withheld_202003_forest_FALSE","(0.6,0.8]",45,0.683344109432557,0.676592795024795
"withheld_202003_forest_FALSE","(0.8,1]",55,0.888172731123505,0.919041967956032
