"spec","population","item","retained_refits","rank_mean","rank_min","rank_median","rank_max","importance_mean","importance_min","importance_max"
"diagnostic","All voters","NEWQ67",3,610.333333333333,474,627,730,2.73455332240554e-05,1.19205835501686e-05,4.57202763241868e-05
"diagnostic","All voters","Q1",3,37.3333333333333,20,27,65,0.00165279154127281,0.000330833179076615,0.00314256054609272
"diagnostic","All voters","Q110",3,176.333333333333,139,180,210,0.000128826944290309,0.000106523223589684,0.000159688758562276
"diagnostic","All voters","Q111R1",3,497.333333333333,253,531,708,4.36889517565122e-05,0,9.15078778207717e-05
"diagnostic","All voters","Q111R2",3,628,592,596,696,2.41789547852457e-05,1.6993809663719e-05,2.8392623632908e-05
"diagnostic","All voters","Q111R3",3,283.666666666667,137,163,551,0.000110100684099113,3.46169089686179e-05,0.000157393805907713
"diagnostic","All voters","Q111R4",3,396.333333333333,291,384,514,6.13739194343342e-05,4.19547007945028e-05,8.22994695168992e-05
"diagnostic","All voters","Q111R5",3,455.333333333333,173,557,636,6.14026344085717e-05,1.988955814042e-05,0.000128386925066623
"diagnostic","All voters","Q116",3,101.666666666667,89,92,124,0.000216793868734583,0.00017675850128631,0.000239211732170776
"diagnostic","All voters","Q117R1",3,624.333333333333,573,601,699,2.35983984394225e-05,1.10087358042303e-05,3.4514929607613e-05
"diagnostic","All voters","Q117R10",3,483,236,484,729,4.61965994335239e-05,0,9.48503534395093e-05
"diagnostic","All voters","Q117R11",3,430,175,386,729,6.39541258470485e-05,0,0.000128733087702625
"diagnostic","All voters","Q117R12",3,597.666666666667,506,579,708,2.48089296673544e-05,0,4.32492956342072e-05
"diagnostic","All voters","Q117R13",3,188,115,202,247,0.000131611803078839,9.41604779920512e-05,0.000185804499268824
"diagnostic","All voters","Q117R2",3,588,462,583,719,3.04898568997892e-05,1.36580993468934e-05,4.73103699487693e-05
"diagnostic","All voters","Q117R3",3,349.666666666667,189,390,470,7.64459962093993e-05,4.91267046554116e-05,0.000120055012346445
"diagnostic","All voters","Q117R4",3,606.333333333333,382,708,729,2.12628341336037e-05,0,6.37885024008112e-05
"diagnostic","All voters","Q117R5",3,698,657,708,729,7.60042897794604e-06,0,2.28012869338381e-05
"diagnostic","All voters","Q117R6",3,731.333333333333,708,729,757,2.56214673258467e-06,0,7.68644019775402e-06
"diagnostic","All voters","Q117R7",3,461.666666666667,330,408,647,5.05582307126126e-05,2.44155111951509e-05,7.08084903649532e-05
"diagnostic","All voters","Q117R8",3,417.333333333333,364,414,474,5.59452633366764e-05,4.54701219410923e-05,6.6396698033735e-05
"diagnostic","All voters","Q117R9",3,662.333333333333,591,667,729,1.58987083073104e-05,0,3.27648097228816e-05
"diagnostic","All voters","Q13",3,465.333333333333,432,473,491,4.76611766586005e-05,4.24297846039195e-05,5.50352998502926e-05
"diagnostic","All voters","Q130",3,4.33333333333333,4,4,5,0.0283041672088308,0.0145031947614535,0.0384975494848195
"diagnostic","All voters","Q131R1",3,466.333333333333,237,417,745,5.30305560864352e-05,9.48430456522962e-06,9.43774884662127e-05
"diagnostic","All voters","Q131R10",3,218.333333333333,112,234,309,0.000120351574659639,7.49495443335282e-05,0.000190883500284794
"diagnostic","All voters","Q131R11",3,357,187,402,482,7.52171458164305e-05,4.73055656900193e-05,0.00012121928145723
"diagnostic","All voters","Q131R12",3,101.333333333333,46,111,147,0.000301052641843,0.00014437780767064,0.000567068249278487
"diagnostic","All voters","Q131R13",3,514.666666666667,417,494,633,4.09076337396362e-05,2.32267940243686e-05,5.73235999812228e-05
"diagnostic","All voters","Q131R2",3,174.333333333333,146,174,203,0.000129721302963772,0.000112483986474118,0.00015285759118816
"diagnostic","All voters","Q131R3",3,317,237,262,452,7.8830190624055e-05,5.21675455226121e-05,9.66931343870087e-05
"diagnostic","All voters","Q131R4",3,181.666666666667,142,162,241,0.000126590797716162,9.52614079661992e-05,0.000151810957507212
"diagnostic","All voters","Q131R5",3,398,221,455,518,6.24847038025333e-05,3.93465402258245e-05,9.98655273721779e-05
"diagnostic","All voters","Q131R6",3,345.333333333333,176,383,477,7.82349083134308e-05,4.77898168412291e-05,0.000126840726123665
"diagnostic","All voters","Q131R7",3,328,104,155,725,0.0001215490567251,1.24324009043445e-05,0.000208740102465197
"diagnostic","All voters","Q131R8",3,185.333333333333,86,122,348,0.000163958531076503,6.80033197979731e-05,0.00024325564534411
"diagnostic","All voters","Q131R9",3,614.666666666667,538,616,690,2.53261741292599e-05,1.37962507462227e-05,3.90757857593936e-05
"diagnostic","All voters","Q144",3,318.333333333333,261,327,367,7.42022981461102e-05,6.46422165771409e-05,8.65455540344568e-05
"diagnostic","All voters","Q145",3,377.666666666667,165,260,708,7.93565514756411e-05,1.56138140485998e-05,0.000134215706167117
"diagnostic","All voters","Q146",3,584,520,554,678,2.93861433467018e-05,1.31112149589984e-05,4.10247569641374e-05
"diagnostic","All voters","Q147",3,380.333333333333,266,307,568,6.61462812801444e-05,3.50725151864171e-05,8.83239218866022e-05
"diagnostic","All voters","Q148",3,552.666666666667,374,576,708,3.22024531445025e-05,0,6.52206063104573e-05
"diagnostic","All voters","Q149",3,387.666666666667,315,347,501,6.2398436523574e-05,4.41130173932145e-05,7.62729268381899e-05
"diagnostic","All voters","Q15",3,1,1,1,1,0.154350469874862,0.144389642971419,0.171176673970759
"diagnostic","All voters","Q150",3,498.333333333333,260,527,708,4.33323669087705e-05,0,9.01274300916576e-05
"diagnostic","All voters","Q151",3,650.333333333333,587,635,729,1.7726429093368e-05,0,2.75496962488249e-05
"diagnostic","All voters","Q152",3,628.666666666667,600,620,666,2.42303212514082e-05,2.20013987372502e-05,2.53958464792265e-05
"diagnostic","All voters","Q153",3,481.666666666667,383,456,606,4.59629585137944e-05,2.49375412691873e-05,6.12404084535844e-05
"diagnostic","All voters","Q154R1",3,224,77,88,507,0.000185446680542205,4.15153200713495e-05,0.000264883425005403
"diagnostic","All voters","Q154R2",3,601.333333333333,433,677,694,2.68463715184768e-05,9.32143463754356e-06,5.492104918726e-05
"diagnostic","All voters","Q154R3",3,543.333333333333,504,561,565,3.59272460911994e-05,3.11997055992936e-05,4.38885350135044e-05
"diagnostic","All voters","Q154R4",3,556.666666666667,458,570,642,3.50864004241288e-05,2.50001289551306e-05,4.79912115319453e-05
"diagnostic","All voters","Q154R5",3,462,345,482,559,4.93945365930763e-05,3.56825175001017e-05,6.84666947436649e-05
"diagnostic","All voters","Q159R1",3,546.333333333333,498,566,575,3.59952914902116e-05,3.15749662219839e-05,4.13075064437332e-05
"diagnostic","All voters","Q159R2",3,299.666666666667,182,305,412,8.64058507553521e-05,5.85476475763235e-05,0.000124762168704591
"diagnostic","All voters","Q159R3",3,441.666666666667,389,450,486,5.20346310715191e-05,4.36926932010573e-05,6.26369293257629e-05
"diagnostic","All voters","Q16",3,534,318,638,646,3.97455810629478e-05,2.18601963704536e-05,7.28680557712998e-05
"diagnostic","All voters","Q162R1",3,286,129,279,450,0.000100785747502047,4.88972983869059e-05,0.000171205393982926
"diagnostic","All voters","Q162R2",3,426.333333333333,254,309,716,5.77254051967402e-05,8.04880376848254e-06,8.95444074054699e-05
"diagnostic","All voters","Q162R3",3,472.666666666667,98,619,701,8.13098651099774e-05,1.08137970469342e-05,0.000210671952982805
"diagnostic","All voters","Q162R4",3,373.333333333333,176,392,552,7.20216012480992e-05,3.29564502283628e-05,0.000123554636925503
"diagnostic","All voters","Q162R5",3,315,216,248,481,8.03141917032797e-05,4.40807672915672e-05,0.000102809532725879
"diagnostic","All voters","Q162R6",3,413.333333333333,338,449,453,5.65998872157664e-05,4.8988085018283e-05,6.86507402577556e-05
"diagnostic","All voters","Q162R7",3,279.666666666667,223,256,360,8.46938951029265e-05,6.4248465586663e-05,9.85626272485345e-05
"diagnostic","All voters","Q162R8",3,292,121,289,466,0.000102031720446976,4.67502365386262e-05,0.000176613366454685
"diagnostic","All voters","Q17",3,675,615,691,719,1.54798268788527e-05,7.57039499170171e-06,2.92357876145654e-05
"diagnostic","All voters","Q170",3,738,708,729,777,0,0,0
"diagnostic","All voters","Q171",3,193.666666666667,116,216,249,0.000128178448599544,8.97889487230615e-05,0.000187958597935094
"diagnostic","All voters","Q172R1",3,638.666666666667,410,729,777,1.87958199624046e-05,0,5.63874598872138e-05
"diagnostic","All voters","Q172R2",3,504.333333333333,372,520,621,4.28058552776073e-05,2.80167548428108e-05,6.11817059736116e-05
"diagnostic","All voters","Q172R3",3,697.666666666667,608,708,777,9.07183691405354e-06,0,2.72155107421606e-05
"diagnostic","All voters","Q175R1",3,582.333333333333,415,624,708,2.75770301996476e-05,0,5.79690375492477e-05
"diagnostic","All voters","Q175R2",3,442.333333333333,285,406,636,5.40074434335704e-05,2.55237739741365e-05,7.98534778704262e-05
"diagnostic","All voters","Q175R3",3,621.666666666667,505,652,708,2.17379853620531e-05,0,4.1572513667849e-05
"diagnostic","All voters","Q178R1",3,213.333333333333,87,173,380,0.000146841607823304,6.20068176462258e-05,0.000252926862534377
"diagnostic","All voters","Q178R2",3,90,82,83,105,0.000243489395901512,0.000204270638896586,0.000275040955753476
"diagnostic","All voters","Q178R3",3,443,91,524,714,9.14757237348787e-05,8.30194769576446e-06,0.000229069797883835
"diagnostic","All voters","Q178R4",3,531.666666666667,502,539,554,3.74823681569284e-05,3.24022169902728e-05,4.40861022964467e-05
"diagnostic","All voters","Q182",3,538.333333333333,337,589,689,3.73630226354053e-05,1.39087830643742e-05,7.07274679397764e-05
"diagnostic","All voters","Q183",3,160.666666666667,126,149,207,0.000143095322751785,0.000105514311244269,0.000174368562588195
"diagnostic","All voters","Q184R1",3,68,52,75,77,0.000341640436566517,0.000269186251446055,0.000455549218777104
"diagnostic","All voters","Q184R2",3,631,510,654,729,1.99465063696459e-05,0,4.26197435559305e-05
"diagnostic","All voters","Q184R3",3,591.333333333333,478,579,717,2.81715332490895e-05,7.79448382201778e-06,4.77288186603573e-05
"diagnostic","All voters","Q187R1",3,373,224,397,498,6.6770736254391e-05,4.2043056185057e-05,9.7503215611579e-05
"diagnostic","All voters","Q187R2",3,368,83,317,704,0.00011952965305434,9.98327585914139e-06,0.000274986055280622
"diagnostic","All voters","Q187R3",3,630,543,639,708,1.99351848056724e-05,0,3.79532501273415e-05
"diagnostic","All voters","Q187R4",3,436,149,527,632,6.78984574981403e-05,2.3245648365967e-05,0.000143603577274337
"diagnostic","All voters","Q187R5",3,303.333333333333,205,342,363,7.93394107587363e-05,6.27577089632479e-05,0.000105807559907544
"diagnostic","All voters","Q192",3,738,708,729,777,0,0,0
"diagnostic","All voters","Q193",3,380,357,357,426,6.19984912502148e-05,5.34351992178821e-05,6.74655128157114e-05
"diagnostic","All voters","Q194",3,432.333333333333,366,427,504,5.30214210274817e-05,4.00750848617595e-05,6.59917958704971e-05
"diagnostic","All voters","Q195A1",3,7.66666666666667,4,9,10,0.00999822301653631,0.00679349424294206,0.0155239609367891
"diagnostic","All voters","Q195A2",3,7,7,7,7,0.0112820014634687,0.00972226586691327,0.0126394637255303
"diagnostic","All voters","Q195B1",3,11.3333333333333,9,10,15,0.00646310940967942,0.00436612921688242,0.00856588598069248
"diagnostic","All voters","Q195B2",3,9.33333333333333,8,9,11,0.00846693754293179,0.00643736303435903,0.0110568692691319
"diagnostic","All voters","Q196",3,246,84,243,411,0.000134132287594373,5.88556235133744e-05,0.000250717178219294
"diagnostic","All voters","Q197A1",3,12,10,12,14,0.00630045515901255,0.00473861245785689,0.00800059710509551
"diagnostic","All voters","Q197A2",3,20,14,21,25,0.00261510191967251,0.00180367919758345,0.00349927111519509
"diagnostic","All voters","Q197B1",3,12.6666666666667,12,12,14,0.00516349578425244,0.0043824656689548,0.00557277550250036
"diagnostic","All voters","Q197B2",3,19.3333333333333,15,17,26,0.00272262766488415,0.00155521158145257,0.00351229428274225
"diagnostic","All voters","Q198",3,285.666666666667,139,193,525,0.000102073704255159,3.86509666355339e-05,0.000154958609202336
"diagnostic","All voters","Q199",3,709,659,708,760,8.8659479468914e-06,0,1.93895363152792e-05
"diagnostic","All voters","Q20",3,592.333333333333,402,667,708,2.60973711188671e-05,0,6.02639562265179e-05
"diagnostic","All voters","Q200",3,555.333333333333,340,618,708,3.19494608857828e-05,0,7.02315129678025e-05
"diagnostic","All voters","Q201",3,566,356,635,707,3.23691395622149e-05,9.71638941606101e-06,6.74673393151607e-05
"diagnostic","All voters","Q202",3,151,97,127,229,0.000162714115833627,9.71202688172872e-05,0.000216758748649977
"diagnostic","All voters","Q203",3,399,217,403,577,6.35398718121754e-05,3.13866674552685e-05,0.000102218116632641
"diagnostic","All voters","Q204",3,725.666666666667,708,729,740,3.35443387856004e-06,0,1.00633016356801e-05
"diagnostic","All voters","Q205",3,419.333333333333,190,339,729,6.34590896449301e-05,0,0.000119990749884893
"diagnostic","All voters","Q206",3,146.333333333333,133,152,154,0.000149759983328754,0.000140614754088672,0.000162959139513165
"diagnostic","All voters","Q207",3,267,159,259,383,9.84483360547776e-05,6.34973076106257e-05,0.000141656241117048
"diagnostic","All voters","Q208R1",3,492.666666666667,301,552,625,4.59924231842524e-05,2.45868929464397e-05,7.70016176013829e-05
"diagnostic","All voters","Q208R2",3,215.333333333333,175,231,240,0.000105641532234636,9.43100803093956e-05,0.000126885175417784
"diagnostic","All voters","Q208R3",3,467.666666666667,361,377,665,4.85035536832423e-05,1.8162475933495e-05,6.69713314394857e-05
"diagnostic","All voters","Q208R4",3,442.333333333333,245,473,609,5.67818688515174e-05,3.00153851560713e-05,9.44618049739094e-05
"diagnostic","All voters","Q208R5",3,397.666666666667,167,318,708,6.83819267342513e-05,0,0.000131748181959939
"diagnostic","All voters","Q21",3,15.6666666666667,13,13,21,0.0036505307837593,0.000910703414400035,0.00520441427581233
"diagnostic","All voters","Q213R1",3,279,216,268,353,8.50175711080386e-05,6.72228177125096e-05,0.000102803312038856
