"run","mtry","node","encoded_p","actual_mtry","validation_brier"
"diagnostic_202001_forest_FALSE","sqrt",5,5737,75,0.0476513821604601
"diagnostic_202001_forest_FALSE","fraction20",5,5737,1147,0.0359765186494636
"diagnostic_202001_forest_FALSE","fraction40",5,5737,2294,0.036939876440275
"diagnostic_202001_forest_FALSE","sqrt",20,5737,75,0.0480955653900575
"diagnostic_202001_forest_FALSE","fraction20",20,5737,1147,0.0343771802063313
"diagnostic_202001_forest_FALSE","fraction40",20,5737,2294,0.03721348132384
"diagnostic_202001_forest_FALSE","sqrt",50,5737,75,0.0502241633781536
"diagnostic_202001_forest_FALSE","fraction20",50,5737,1147,0.035342358034639
"diagnostic_202001_forest_FALSE","fraction40",50,5737,2294,0.0372138102923866
"primary_202001_forest_FALSE","sqrt",5,5098,71,0.0777741791998509
"primary_202001_forest_FALSE","fraction20",5,5098,1019,0.0717409361567377
"primary_202001_forest_FALSE","fraction40",5,5098,2039,0.0747658677681348
"primary_202001_forest_FALSE","sqrt",20,5098,71,0.0793194476038745
"primary_202001_forest_FALSE","fraction20",20,5098,1019,0.0719534025813723
"primary_202001_forest_FALSE","fraction40",20,5098,2039,0.0753762995983882
"primary_202001_forest_FALSE","sqrt",50,5098,71,0.0807149387568978
"primary_202001_forest_FALSE","fraction20",50,5098,1019,0.0750552684669921
"primary_202001_forest_FALSE","fraction40",50,5098,2039,0.0743963906218503
"withheld_202001_forest_FALSE","sqrt",5,4873,69,0.0985928178166737
"withheld_202001_forest_FALSE","fraction20",5,4873,974,0.0919130098757898
"withheld_202001_forest_FALSE","fraction40",5,4873,1949,0.0927380169807936
"withheld_202001_forest_FALSE","sqrt",20,4873,69,0.0969554775687608
"withheld_202001_forest_FALSE","fraction20",20,4873,974,0.0930019232382466
"withheld_202001_forest_FALSE","fraction40",20,4873,1949,0.095405011600473
"withheld_202001_forest_FALSE","sqrt",50,4873,69,0.100435663899179
"withheld_202001_forest_FALSE","fraction20",50,4873,974,0.0934406983371604
"withheld_202001_forest_FALSE","fraction40",50,4873,1949,0.094297914358849
"diagnostic_202002_forest_FALSE","sqrt",5,5734,75,0.0433165602905684
"diagnostic_202002_forest_FALSE","fraction20",5,5734,1146,0.0386439663712918
"diagnostic_202002_forest_FALSE","fraction40",5,5734,2293,0.041706592823191
"diagnostic_202002_forest_FALSE","sqrt",20,5734,75,0.0433978386476079
"diagnostic_202002_forest_FALSE","fraction20",20,5734,1146,0.038338166995381
"diagnostic_202002_forest_FALSE","fraction40",20,5734,2293,0.0399750058108072
"diagnostic_202002_forest_FALSE","sqrt",50,5734,75,0.046074072363025
"diagnostic_202002_forest_FALSE","fraction20",50,5734,1146,0.0388804865201896
"diagnostic_202002_forest_FALSE","fraction40",50,5734,2293,0.0414528609378267
"primary_202002_forest_FALSE","sqrt",5,5093,71,0.0751081343122628
"primary_202002_forest_FALSE","fraction20",5,5093,1018,0.0645074989743943
"primary_202002_forest_FALSE","fraction40",5,5093,2037,0.0669633763747629
"primary_202002_forest_FALSE","sqrt",20,5093,71,0.0745633691874924
"primary_202002_forest_FALSE","fraction20",20,5093,1018,0.0650248097260122
"primary_202002_forest_FALSE","fraction40",20,5093,2037,0.0665989642035893
"primary_202002_forest_FALSE","sqrt",50,5093,71,0.0762051478517834
"primary_202002_forest_FALSE","fraction20",50,5093,1018,0.0650538120912873
"primary_202002_forest_FALSE","fraction40",50,5093,2037,0.0675297380362855
"withheld_202002_forest_FALSE","sqrt",5,4869,69,0.100154566242269
"withheld_202002_forest_FALSE","fraction20",5,4869,973,0.0956472629308069
"withheld_202002_forest_FALSE","fraction40",5,4869,1947,0.093443082331834
"withheld_202002_forest_FALSE","sqrt",20,4869,69,0.100076481115582
"withheld_202002_forest_FALSE","fraction20",20,4869,973,0.095364970532535
"withheld_202002_forest_FALSE","fraction40",20,4869,1947,0.0942511036252077
