"variable","questionnaire_item","questionnaire_pdf_page","source_excerpt"
"Q15",15,13,"15. How about in the election for U.S. Congress, here in your district in [STATE] [IF Q12=1 or 2 “did you vote for”;  all others: “even if you did not vote, did you support”; if age=16-17 “even though you’re not old enough to vote,  did you support” [ROTATE] the Republican candidate or the Democratic candidate for Congress?   ===== PDF PAGE 14 ====="
"Q21",21,15,"21. [IF S7=2 or 3 “When it comes to politics in the U.S.”] Generally speaking, do you think of yourself as a  Republican, a Democrat, an independent, or something else?    Republican ........................................................................ 1  Democrat .......................................................................... 2 "
"Q22",22,15,"22. [IF 21=1 or 2] Do you consider yourself to be a strong {Dem/Rep}, or not?    Strong ................................................................................ 1  Not strong ......................................................................... 2   "
"Q23",23,15,"23. [IF 21=3-4] If you had to choose, do you consider yourself closer to the Republican party or the Democratic  party?  Republican ........................................................................ 1  Democrat .......................................................................... 2  Independent ..................................................................... 3 "
"Q24",24,15,"24. [If 21=1] Have you always called yourself a Republican, or did you used to call yourself a Democrat?    Always called myself a Republican ................................... 1  Used to call myself a Democrat ........................................ 2  Used to call myself an Independent ................................. 3 "
"Q25",25,15,"25. [If 21=2] Have you always called yourself a Democrat, or did you used to call yourself a Republican?    Always called myself a Democrat ..................................... 1  Used to call myself a Republican ...................................... 2  Used to call myself an Independent ................................. 3 "
"Q26",26,15,"26. [If 21=3 or 4] Have you always called yourself an Independent, or did you used to think of yourself as closer to  the Democratic or Republican parties?     ===== PDF PAGE 16 ====="
"Q43",43,19,"43. When it comes to politics, do you think of yourself as liberal, moderate, or conservative?    Very Liberal ....................................................................... 1  Somewhat Liberal ............................................................. 2  Moderate .......................................................................... 3 "
"Q543",543,94,"543. How about… [randomize order]     Support government increasing spending by $25 billion on border security, including building a wall between the  U.S. and Mexico……1   Oppose government increasing spending by $25 billion on border security, including building a wall between the "
"Q358",358,69,"358. Based on everything you have heard or seen, how much do you support or oppose the Black Lives Matter  movement?  Strongly support 1  Somewhat support 2  Neither support nor oppose 3 "
"Q130",130,30,"130................................................................. Looking back over the past ten months that our nation has been  dealing with the coronavirus pandemic, which statement is closer to your view? [ROTATE]    President Trump ignored the early warning signs of coronavirus and because of his mismanagement, millions of  Americans became sick and more than 400,000 died. .................................................................................1 "
"Q54",54,21,"54. Some people have said that former President Donald Trump encouraged or incited the rioters to carry out the  attack on the U.S. Capitol, while other people have said Trump had no connection and the rioters did this on their  own.  Which comes closest to your own beliefs.  [rotate order of answer choices]   "
"Q55",55,21,"55. Do you think the Republican members of Congress who tried to stop the formal certification of Joe Biden’s  victory in the 2020 presidential election were undermining democracy, or protecting democracy?    Undermining democracy .................................................. 1  Protecting democracy ....................................................... 2 "
"Q614",613,101,"613. [L] This year there has been a lot of discussion President Trump’s immigration policies, including  deportation, detention and how the US treats people seeking asylum. Which best describes your position?    I oppose Trump’s immigration policies ............................ 1  I support Trump’s immigration policies ........................... 2 "
"Q615",614,101,"614. [L] Regardless of whether you support or oppose Trump’s immigration policies, did you do any of the  following to share that opinion with others?    I attended an in-person event to express this view .................................... 1  I participated online and/or on social media to express this view ............. 2 "
"Q613",612,101,"612. [L] In the US we use a number of categories to describe ourselves racially. Do you feel that Latinos make  up a distinctive racial group in America?    Yes ..................................................................................... 1  No ...................................................................................... 2 "
"Q485",485,86,"485........................................................................................................................................................................... W hen it comes to the treatment of Black people by the police and the treatment of Latino immigrants by  immigration officials, which comes closest to your view: [rotate]    Neither treatment of Blacks by police nor treatment of Latinos by immigration officials are racially "
"Q183",183,35,"183. Is your overall opinion of Immigration and Customs Enforcement, known as ICE:     Very unfavorable .............................................................. 1  Mostly unfavorable ........................................................... 2  Mostly favorable ............................................................... 3 "
"Q368",368,71,"368........................................................................................................................................................................... D uring the summer of 2020, Black Lives Matter and protesters around the world stressed bringing an end to  racism among individuals and within larger society. Part of these protests involved acknowledging the history  of racism in the United States and beyond.    "
"Q683",683,108,"683. As you may know, the Voting Rights Act was passed in the 1965s to prevent state and local governments  from using rules and procedures which prevented many Black people from voting. Do you think the Voting  Rights Act is necessary today to make sure that Blacks are allowed to vote, or do you think the Voting Rights  Act is no longer necessary?  Necessary today ................................................................ 1 "
"Q743",743,114,"743.  [If Q741=1, 3, 4] Generally speaking, does your spouse or partner think of themselves as a Republican,  Democrat, an independent, or something else?    Republican ........................................................................ 1  "
"Q385",385,75,"385. As you may have heard, in the wake of the murder of George Floyd and protests, there has been some  talk of defunding the police. Some say that defunding the police is pushing things too far. Others feel that  defunding the police is not going far enough. How about you - what do you think about defunding the police?    [Widget scale ranging from 1=Defunding the police is pushing things too far to 7=Defunding the police is not going "
"Q33R3",35,18,"35. CNN  36. New York Times  37. National Public Radio (NPR)  Very often ......................................................................... 1  Occasionally, but not often............................................... 2 "
"Q117R11",127,30,"127. Supporting immigrant rights  128. Ending coronavirus quarantine  129. A national mandate to wear a mask in public when coronavirus cases are high    Very Low Priority ............................................................... 1 "
"Q154R1",154,32,"154. You see an American flag or hear the national anthem?  155. You participate in a civic or political action, such as voting, contacting an elected official or discussing  issues with others?  156. You view news or think about protests on issues that are important for [R’s racial group]?  157. You see a {ANS S2} individual accomplishing a major milestone? "
"Q217R1",217,44,"217. White people in the U.S. have certain advantages because of their race.  218. Racial problems in the U.S. are rare, isolated situations.  219. I am angry that racism exists.  220. I am sometimes fearful of people of other races.   "
"Q208R5",212,43,"212. It is the responsibility of the government to reduce the differences in income between people with high  incomes and those with low incomes?    Strongly agree 1  Somewhat agree 2 "
"Q359R2",360,69,"360. [ANS to S2] will benefit from the success of the Black Lives Matter movement.  361.  When Americans speak up and protest injustice in the U.S., it always makes the country better.   ===== PDF PAGE 70 =====  "
"Q184R1",184,35,"184.  Increasing security at the U.S.-Mexico border should be a national priority even if it means that some  migrants will die attempting to cross    185. This country should make it easier for immigrants to obtain visas and citizenship.   "
"Q131R1",131,31,"131. Congress should pass a comprehensive stimulus bill with over 2 trillion dollars in additional funding for  unemployment benefits, stimulus payments, small business loans, and support for state and local  government.  132...... [SPLIT A] As long as the coronavirus is a threat, we need a national mandate to wear masks in public.  133. [SPLIT B] We should end the policy of separating immigrant children from their parents at the border. "
"Q131R9",139,31,"139. [SPLIT B] Abortion should remain a legal option in the United States.  140. [SPLIT A] Washington D.C. should be a full state and have 2 U.S. Senators and Representative in the U.S.  Congress   141. [SPLIT B] Puerto Rico should be a full state and have 2 U.S. Senators and Representatives in the U.S.  Congress "
"Q225R10",234,45,"234. Democrats  235. Republicans  236. LGBTQ people  237. Immigrants  238. White nationalists "
"Q225R11",235,45,"235. Republicans  236. LGBTQ people  237. Immigrants  238. White nationalists  Strongly supports .............................................................. 1 "
"Q2R1",2,12,"2. Former President Donald Trump   3. Former Vice President Mike Pence   4. President Joe Biden   5. Vice President Kamala Harris   6. Former President Barack Obama "
"Q2R2",3,12,"3. Former Vice President Mike Pence   4. President Joe Biden   5. Vice President Kamala Harris   6. Former President Barack Obama  7. Former President George W. Bush "
"Q2R3",4,12,"4. President Joe Biden   5. Vice President Kamala Harris   6. Former President Barack Obama  7. Former President George W. Bush  8. Former Secretary of State Hillary Clinton "
"Q2R4",5,12,"5. Vice President Kamala Harris   6. Former President Barack Obama  7. Former President George W. Bush  8. Former Secretary of State Hillary Clinton  9. Former first-lady Melania Trump  "
"Q2R5",6,12,"6. Former President Barack Obama  7. Former President George W. Bush  8. Former Secretary of State Hillary Clinton  9. Former first-lady Melania Trump   10. Former first-lady Michelle Obama "
"Q2R6",7,12,"7. Former President George W. Bush  8. Former Secretary of State Hillary Clinton  9. Former first-lady Melania Trump   10. Former first-lady Michelle Obama  "
"Q2R7",8,12,"8. Former Secretary of State Hillary Clinton  9. Former first-lady Melania Trump   10. Former first-lady Michelle Obama   ===== PDF PAGE 13 ====="
"Q2R8",9,12,"9. Former first-lady Melania Trump   10. Former first-lady Michelle Obama   ===== PDF PAGE 13 =====  "
"Q2R9",10,12,"10. Former first-lady Michelle Obama   ===== PDF PAGE 13 =====    "
"Q2R10",11,13,"11. First-lady Dr. Jill Biden    Very favorable ........................................................1  Somewhat favorable ..............................................2  Somewhat unfavorable ..........................................3 "
"Q308R1",308,59,"308..Undocumented immigrants  309..Gun owners  310..Veterans  311..Welfare recipients  312..Climate change activists "
"Q308R2",309,59,"309..Gun owners  310..Veterans  311..Welfare recipients  312..Climate change activists  313..#MeToo Movement "
"Q308R3",310,59,"310..Veterans  311..Welfare recipients  312..Climate change activists  313..#MeToo Movement  314..#BlackLivesMatter "
"Q308R4",311,59,"311..Welfare recipients  312..Climate change activists  313..#MeToo Movement  314..#BlackLivesMatter   "
"Q308R5",312,59,"312..Climate change activists  313..#MeToo Movement  314..#BlackLivesMatter      How close do you feel to other [Insert text: Q294 or C2PID or C3PID] people? "
"Q308R6",313,59,"313..#MeToo Movement  314..#BlackLivesMatter      How close do you feel to other [Insert text: Q294 or C2PID or C3PID] people?  315.............  "
"Q308R7",314,59,"314..#BlackLivesMatter      How close do you feel to other [Insert text: Q294 or C2PID or C3PID] people?  315.............   • Not close at all "
"Q619_Q626R1",618,102,"618. Whites  619. Blacks  620. Asian Americans  621. Native Americans  622. Immigrants "
"Q619_Q626R2",619,102,"619. Blacks  620. Asian Americans  621. Native Americans  622. Immigrants  623. Latinos "
"Q619_Q626R3",620,102,"620. Asian Americans  621. Native Americans  622. Immigrants  623. Latinos  624. Gays and Lesbians "
"Q619_Q626R4",621,102,"621. Native Americans  622. Immigrants  623. Latinos  624. Gays and Lesbians  625. Muslims "
"Q619_Q626R5",622,102,"622. Immigrants  623. Latinos  624. Gays and Lesbians  625. Muslims  A lot.... ............................................................................... 1 "
"Q619_Q626R6",623,102,"623. Latinos  624. Gays and Lesbians  625. Muslims  A lot.... ............................................................................... 1  Some... .............................................................................. 2 "
"Q619_Q626R7",624,102,"624. Gays and Lesbians  625. Muslims  A lot.... ............................................................................... 1  Some... .............................................................................. 2  A little.... ............................................................................ 3 "
"Q619_Q626R8",625,102,"625. Muslims  A lot.... ............................................................................... 1  Some... .............................................................................. 2  A little.... ............................................................................ 3  None at all... ...................................................................... 4 "
"Q563_Q572R1",563,96,"563. Women  564. Men  565. Immigrants   ===== PDF PAGE 97 ====="
"Q563_Q572R2",564,96,"564. Men  565. Immigrants   ===== PDF PAGE 97 =====  "
"Q563_Q572R3",565,96,"565. Immigrants   ===== PDF PAGE 97 =====    "
"Q563_Q572R4",566,97,"566. Native Americans  567. Whites  568. Blacks  569. Latinos  570. Asians "
"Q563_Q572R5",567,97,"567. Whites  568. Blacks  569. Latinos  570. Asians  571. Muslims "
"Q563_Q572R6",568,97,"568. Blacks  569. Latinos  570. Asians  571. Muslims  572. LGBTQ "
"Q563_Q572R7",569,97,"569. Latinos  570. Asians  571. Muslims  572. LGBTQ   "
"Q563_Q572R8",570,97,"570. Asians  571. Muslims  572. LGBTQ    Underrepresented ............................................................ 1 "
"Q563_Q572R9",571,97,"571. Muslims  572. LGBTQ    Underrepresented ............................................................ 1  Fairly represented ............................................................. 2 "
"Q563_Q572R10",572,97,"572. LGBTQ    Underrepresented ............................................................ 1  Fairly represented ............................................................. 2  Overrepresented............................................................... 3 "
"Q607_Q610R1",607,100,"607. are a threat to my safety or that of my family  608. are a threat to Americans’ way of life  609. should be banned from holding public rallies  610. should be banned from running for public office   "
"Q709_712R1",709,111,"709. White privilege is a major problem in the U.S. today.    710. Discrimination against Whites has become as big a problem as discrimination against racial minorities    711. The American way of life needs to be protected against foreign influence. "
"Q607_Q610R2",608,100,"608. are a threat to Americans’ way of life  609. should be banned from holding public rallies  610. should be banned from running for public office    Strongly disagree .............................................................. 1 "
"Q709_712R2",710,111,"710. Discrimination against Whites has become as big a problem as discrimination against racial minorities    711. The American way of life needs to be protected against foreign influence.    712. Anti-Black racism is a major problem in the [R RACIAL GROUP] community. "
"Q607_Q610R3",609,100,"609. should be banned from holding public rallies  610. should be banned from running for public office    Strongly disagree .............................................................. 1  "
"Q709_712R3",711,111,"711. The American way of life needs to be protected against foreign influence.    712. Anti-Black racism is a major problem in the [R RACIAL GROUP] community.    Strongly agree ................................................................... 1 "
"Q607_Q610R4",610,100,"610. should be banned from running for public office    Strongly disagree .............................................................. 1   ===== PDF PAGE 101 ====="
"Q709_712R4",712,111,"712. Anti-Black racism is a major problem in the [R RACIAL GROUP] community.    Strongly agree ................................................................... 1  Agree ................................................................................. 2  Disagree ............................................................................ 3 "
"Q706_Q708R1",706,111,"706. Cut funding for police departments and reinvest in community programs  707. Abolish the police  708. Create a new agency of first responders, like emergency medical services or firefighters, to deal with  issues related to addiction or mental illness than need to be remedied but do not need police   "
"Q706_Q708R2",707,111,"707. Abolish the police  708. Create a new agency of first responders, like emergency medical services or firefighters, to deal with  issues related to addiction or mental illness than need to be remedied but do not need police    Strongly favor .................................................................... 1 "
"Q706_Q708R3",708,111,"708. Create a new agency of first responders, like emergency medical services or firefighters, to deal with  issues related to addiction or mental illness than need to be remedied but do not need police    Strongly favor .................................................................... 1  Somewhat favor ................................................................ 2 "
"Q504R6",504,89,"504. In the past year, which of the following has caused you the most anxiety or stress? Give each item a  number between 1 – 10, ranging from 1=least anxiety to 10=most anxiety. [Randomize Responses 1-8, Keep  Trump and Biden last but rotate]    My employment ............................................................ [   ] "
"Q504R3",504,89,"504. In the past year, which of the following has caused you the most anxiety or stress? Give each item a  number between 1 – 10, ranging from 1=least anxiety to 10=most anxiety. [Randomize Responses 1-8, Keep  Trump and Biden last but rotate]    My employment ............................................................ [   ] "
"Q504R11",504,89,"504. In the past year, which of the following has caused you the most anxiety or stress? Give each item a  number between 1 – 10, ranging from 1=least anxiety to 10=most anxiety. [Randomize Responses 1-8, Keep  Trump and Biden last but rotate]    My employment ............................................................ [   ] "
"Q504R12",504,89,"504. In the past year, which of the following has caused you the most anxiety or stress? Give each item a  number between 1 – 10, ranging from 1=least anxiety to 10=most anxiety. [Randomize Responses 1-8, Keep  Trump and Biden last but rotate]    My employment ............................................................ [   ] "
"Q197A1",197,39,"197. [Split A.1: Single-Short-4] One way of voting involves a single vote, in which you vote for one candidate.     ===== PDF PAGE 40 =====  "
"Q195A1R1",195,37,"195. [ Split A.1: RCV-Short-4] One way of voting uses a ranked vote, in which you rank candidates to indicate your  first choice, your second choice, and so on.    For example, if Joe Biden decides not to run for re-election and the 2024 presidential election was today which "
"Q195A1R2",195,37,"195. [ Split A.1: RCV-Short-4] One way of voting uses a ranked vote, in which you rank candidates to indicate your  first choice, your second choice, and so on.    For example, if Joe Biden decides not to run for re-election and the 2024 presidential election was today which "
"Q195A1R3",195,37,"195. [ Split A.1: RCV-Short-4] One way of voting uses a ranked vote, in which you rank candidates to indicate your  first choice, your second choice, and so on.    For example, if Joe Biden decides not to run for re-election and the 2024 presidential election was today which "
"Q195A1R4",195,37,"195. [ Split A.1: RCV-Short-4] One way of voting uses a ranked vote, in which you rank candidates to indicate your  first choice, your second choice, and so on.    For example, if Joe Biden decides not to run for re-election and the 2024 presidential election was today which "
"Q197A2",197,39,"197. [Split A.1: Single-Short-4] One way of voting involves a single vote, in which you vote for one candidate.     ===== PDF PAGE 40 =====  "
"Q195A2R1",195,37,"195. [ Split A.1: RCV-Short-4] One way of voting uses a ranked vote, in which you rank candidates to indicate your  first choice, your second choice, and so on.    For example, if Joe Biden decides not to run for re-election and the 2024 presidential election was today which "
"Q195A2R2",195,37,"195. [ Split A.1: RCV-Short-4] One way of voting uses a ranked vote, in which you rank candidates to indicate your  first choice, your second choice, and so on.    For example, if Joe Biden decides not to run for re-election and the 2024 presidential election was today which "
"Q195A2R3",195,37,"195. [ Split A.1: RCV-Short-4] One way of voting uses a ranked vote, in which you rank candidates to indicate your  first choice, your second choice, and so on.    For example, if Joe Biden decides not to run for re-election and the 2024 presidential election was today which "
"Q195A2R4",195,37,"195. [ Split A.1: RCV-Short-4] One way of voting uses a ranked vote, in which you rank candidates to indicate your  first choice, your second choice, and so on.    For example, if Joe Biden decides not to run for re-election and the 2024 presidential election was today which "
"Q195A2R5",195,37,"195. [ Split A.1: RCV-Short-4] One way of voting uses a ranked vote, in which you rank candidates to indicate your  first choice, your second choice, and so on.    For example, if Joe Biden decides not to run for re-election and the 2024 presidential election was today which "
"Q195A2R6",195,37,"195. [ Split A.1: RCV-Short-4] One way of voting uses a ranked vote, in which you rank candidates to indicate your  first choice, your second choice, and so on.    For example, if Joe Biden decides not to run for re-election and the 2024 presidential election was today which "
"Q195A2R7",195,37,"195. [ Split A.1: RCV-Short-4] One way of voting uses a ranked vote, in which you rank candidates to indicate your  first choice, your second choice, and so on.    For example, if Joe Biden decides not to run for re-election and the 2024 presidential election was today which "
"Q195A2R8",195,37,"195. [ Split A.1: RCV-Short-4] One way of voting uses a ranked vote, in which you rank candidates to indicate your  first choice, your second choice, and so on.    For example, if Joe Biden decides not to run for re-election and the 2024 presidential election was today which "
