"seed","stage","variable","n_train","observed","missing_fraction","distinct","passes_screen"
202001,"inner","S1",1248,1248,0,2,TRUE
202001,"inner","S2_RACER1",1248,1248,0,2,TRUE
202001,"inner","S2_RACER2",1248,1248,0,1,FALSE
202001,"inner","S2_RACER3",1248,1248,0,2,TRUE
202001,"inner","S2_RACER4",1248,1248,0,1,FALSE
202001,"inner","S2_RACER5",1248,1248,0,1,FALSE
202001,"inner","S2_RACER6",1248,1248,0,1,FALSE
202001,"inner","S2_RACER7",1248,1248,0,1,FALSE
202001,"inner","S2_RACER8",1248,1248,0,1,FALSE
202001,"inner","S2_RACE_PRIME",1248,1248,0,3,TRUE
202001,"inner","S2_HISPANICR1",1248,0,1,0,FALSE
202001,"inner","S2_HISPANICR2",1248,0,1,0,FALSE
202001,"inner","S2_HISPANICR3",1248,0,1,0,FALSE
202001,"inner","S2_HISPANICR4",1248,0,1,0,FALSE
202001,"inner","S2_HISPANICR5",1248,0,1,0,FALSE
202001,"inner","S2_NATIVER1",1248,1248,0,2,TRUE
202001,"inner","S2_NATIVER2",1248,1248,0,2,TRUE
202001,"inner","S2_NATIVER3",1248,1248,0,2,TRUE
202001,"inner","S2_NATIVER4",1248,1248,0,2,TRUE
202001,"inner","S2_NATIVER5",1248,1248,0,2,TRUE
202001,"inner","S2_AFROLATR1",1248,1248,0,2,TRUE
202001,"inner","S2_AFROLATR2",1248,1248,0,2,TRUE
202001,"inner","S2_AFROLATR3",1248,1248,0,2,TRUE
202001,"inner","S2_AFROLATR4",1248,1248,0,2,TRUE
202001,"inner","S2_AFROLATR5",1248,1248,0,2,TRUE
202001,"inner","S3",1248,1248,0,6,TRUE
202001,"inner","S3B",1248,1248,0,4,TRUE
202001,"inner","S3C",1248,1248,0,2,TRUE
202001,"inner","S4",1248,1248,0,44,TRUE
202001,"inner","S5",1248,1248,0,67,TRUE
202001,"inner","S7",1248,1248,0,3,TRUE
202001,"inner","S8",1248,0,1,0,FALSE
202001,"inner","S8_PACIFIC",1248,0,1,0,FALSE
202001,"inner","S9",1248,33,0.973557692307692,9,FALSE
202001,"inner","S10",1248,1248,0,22,TRUE
202001,"inner","S10_MEX",1248,161,0.87099358974359,2,TRUE
202001,"inner","S11",1248,190,0.84775641025641,14,TRUE
202001,"inner","S12",1248,0,1,0,FALSE
202001,"inner","S2_M",1248,1248,0,2,TRUE
202001,"inner","S13",1248,1248,0,7,TRUE
202001,"inner","S14",1248,1248,0,5,TRUE
202001,"inner","Q58R1",1248,1247,0.000801282051282051,2,TRUE
202001,"inner","Q58R2",1248,1247,0.000801282051282051,2,TRUE
202001,"inner","Q58R3",1248,1247,0.000801282051282051,2,TRUE
202001,"inner","Q58R4",1248,1247,0.000801282051282051,2,TRUE
202001,"inner","Q58R5",1248,1247,0.000801282051282051,2,TRUE
202001,"inner","Q58R6",1248,1247,0.000801282051282051,2,TRUE
202001,"inner","Q58R7",1248,1247,0.000801282051282051,2,TRUE
202001,"inner","Q58R8",1248,1247,0.000801282051282051,2,TRUE
202001,"inner","Q58R9",1248,1247,0.000801282051282051,2,TRUE
202001,"inner","Q58R10",1248,1247,0.000801282051282051,2,TRUE
202001,"inner","Q58R11",1248,1247,0.000801282051282051,2,TRUE
202001,"inner","Q58R12",1248,1247,0.000801282051282051,2,TRUE
202001,"inner","Q58R13",1248,1247,0.000801282051282051,2,TRUE
202001,"inner","Q58R14",1248,1247,0.000801282051282051,2,TRUE
202001,"inner","Q58R15",1248,1247,0.000801282051282051,2,TRUE
202001,"inner","Q58R16",1248,1247,0.000801282051282051,2,TRUE
